id_comercio|id_bandera|comercio_cuit|comercio_razon_social|comercio_bandera_nombre|comercio_bandera_url|comercio_ultima_actualizacion|comercio_version_sepa|comercio_version_sepa                                             
2|1.0|30506730038.0|S.A. IMP. Y EXP. DE LA PATAGONIA|La Anonima|http://www.laanonima.com.ar/|2025-02-24T04:00:04-03:00|1.0|
2|2.0|30506730038.0|S.A. IMP. Y EXP. DE LA PATAGONIA|Topsy|http://www.laanonima.com.ar/|2025-02-24T04:00:04-03:00|1.0|
2|3.0|30506730038.0|S.A. IMP. Y EXP. DE LA PATAGONIA|Bomba|http://www.laanonima.com.ar/|2025-02-24T04:00:04-03:00|1.0|
Última actualización: 2025-02-24T04:00:04-03:00||||||||
11|2.0|30678138300.0|DORINKA SRL|Changomas|www.masonline.com.ar|2017-10-19T12:15:37-03:00|1.0|
11|4.0|30678138300.0|DORINKA SRL|SuperChangomas|www.masonline.com.ar|2017-10-19T12:15:53-03:00|1.0|
11|5.0|30678138300.0|DORINKA SRL|HiperChangomas|www.masonline.com.ar|2021-04-03T12:53:57-03:00|1.0|
Última actualización: 2025-02-03T05:19:53-03:00||||||||
23|1.0|30695542476.0|PAN AMERICAN ENERGY SL SUCURSAL ARGENTINA|Axion Energy|http://www.axionenergy.com|2025-02-24T04:00:00-0300|1.0|
Última actualización: 2025-02-24T04:00:00-0300||||||||
12|1.0|30548083156.0|COTO CENTRO INTEGRAL DE COMERCIALIZACION S.A.|COTO CICSA|http://www.coto.com.ar/|2025-02-24T01:02:57-03:00|1.0|
Ultima actualizacion: 2025-02-24T01:02:57-03:00||||||||
24|1.0|30692138747.0|Farmcity S.A.|SIMPLICITY|http://www.farmacity.com.ar|2025-02-24T02:36:23-03:00|1.0|
24|2.0|30692138747.0|Farmcity S.A.|FARMACITY|http://www.farmacity.com.ar|2025-02-24T02:36:23-03:00|1.0|
Última actualización: 2025-02-24T02:37:04-03:00||||||||
36|3.0|30710113285.0|SuperCLC s.a. |SuperCLC|https://www.facebook.com/SuperCLC/|2019-11-26T15:44:29.7930000|1.0|
36|4.0|30710113633.0|SuperCentral s.a. |SuperCLC|https://www.facebook.com/SuperCLC/|2019-11-26T15:44:29.7970000|1.0|
36|5.0|30711661782.0|Caluc Saladillo sa.|SuperCLC|https://www.facebook.com/SuperCLC/|2019-11-26T15:44:29.8070000|1.0|
36|6.0|30711661871.0|Agapantus sa.|SuperCLC|https://www.facebook.com/SuperCLC/|2019-11-26T15:44:29.8470000|1.0|
Última actualización: 2025-02-24T04:15:32-03:00||||||||
4|1.0|30537679855.0|ESTACION LIMA S.A.|ESTACION LIMA S.A.||2025-02-23T16:00:02-03:00|1.0|
Ultima actualizacion: 2025-02-23T16:00:00-03:00||||||||
2004|1.0|30710411502.0|Coppel S.A.|Coppel S.A.|www.coppel.com.ar|2021-04-30T19:51:27.730|1.0|
Última actualización: 2025-02-23T18:00:03-03:00||||||||
8|1.0|30616491780.0|Mariano S.A.|Mariano Max|http://www.mmax.com.ar|2025-02-23T16:31:00-03:00|1.0|
Última actualización: 2025-02-23T16:31:00-03:00||||||||
16|1.0|30612929455.0|Libertad S.A.|Hipermercado Libertad|http://www.libertadsa.com.ar|2025-02-24T03:02:54-03:00|1.0|
16|2.0|30612929455.0|Libertad S.A.|Mini Libertad|http://www.libertadsa.com.ar|2025-02-24T03:02:54-03:00|1.0|
16|3.0|30612929455.0|Libertad S.A.|Petit Libertad|http://www.libertadsa.com.ar|2025-02-24T03:02:54-03:00|1.0|
Ãltima actualizaciÃ³n: 2025-02-24T03:02:54-03:00||||||||
47|1.0|33529300099.0|Cooperativa Agricola, Ganadera e Industrial de Patagones y Viedma Ltda|Sup. Unicoop        |www.lacooperativa.com.ar                |2025-02-23T21:00:01-03:00||1.0
||||||||
Ultima actualizacion: 2025-02-23T21:00:01-03:00||||||||
15|1.0|30685849751.0|DIA Argentina S.A.|Supermercados DIA|https://www.supermercadosdia.com.ar|2025-02-24T04:54:14-03:00|1.0|
Última actualización: 2025-02-24T04:54:14-03:00||||||||
21|1.0|30551497492.0|Supermercados Toledo S.A.|Toledo|http://www.supertoledo.com|2025-02-24T05:00:49-03:00|1.0|
Última actualización: 2025-02-24T02:00:49-03:00||||||||
9|1.0|30590360763.0|Cencosud S.A.|Vea|http://www.Veadigital.com.ar|2025-02-24T05:01:18-03:00|1.0|
9|2.0|30590360763.0|Cencosud S.A.|Disco|http://www.Discovirtual.com.ar|2025-02-24T05:01:18-03:00|1.0|
9|3.0|30590360763.0|Cencosud S.A.|Jumbo|http://www.Jumbo.com.ar|2025-02-24T05:01:18-03:00|1.0|
Ultima Actualizacion: 2025-02-24T05:01:32-03:00||||||||
6|1.0|30578411174.0|Alberdi S.A.|Supermercados Comodin|http://www.supermercadoscomodin.com|2025-02-24T05:00:00-03:00|1.0|
6|2.0|30578411174.0|Alberdi S.A.|Maxi Comodin|http://www.supermercadoscomodin.com|2025-02-24T05:00:00-03:00|1.0|
Última actualización: 2025-02-24T05:00:00-03:00||||||||
2005|1.0|30697465983.0|Naldo Lombardi SA|Naldo|http://www.naldo.com.ar|2025-02-24T05:00:37-03:00|1.0|
Ultima actualizacion: 2025-02-24T05:00:37-03:00||||||||
2000|1.0|33572266449.0|CARSA SA|MUSIMUNDO|https://www.musimundo.com|2025-02-23T23:00:00-03:00|1.0|
Ultima actualizacion: 2025-02-23T23:00:00-03:00||||||||
5|1.0|30539523410.0|California S.A.|California Supermercados|http://www.californiasa.com.ar/Logo51.jpg|2025-02-24T05:00:43-03:00|1.0|
Última actualización: 2025-02-24T05:00:43-03:00||||||||
19|1.0|30678774495.0|OPERADORA DE ESTACIONES DE SERVICIOS SA|FULL||2017-02-15T03:43:36-03:00|2.3|
&#032;||||||||
Última actualización: 2025-02-24T00:31:27-03:00||||||||
1000|1.0|30537869158.0|FRIGORIFICO GORINA S.A.I.C.|FRIGORIFICO GORINA S.A.I.C.|http://www.friggorina.com|2021-03-19T15:00:00-03:00|1.0|
Última actualización: 2025-02-23T16:05:01-03:00||||||||
2007|1.0|30679928879.0|Sony Argentina S.A.|Sony|https://store.sony.com.ar|2025-02-23T16:30:00-03:00|1.0|
Ultima Actualizacion: 2025-02-23T16:30:00-03:00||||||||
3001|1.0|30590360763.0|CENCOSUD S.A.|EASY|www.easy.com.ar|2025-02-23T15:21:50-03:00|1.0|
3001|2.0|30590360763.0|CENCOSUD S.A.|BLAISTEN|www.blaisten.com.ar|2025-02-23T15:21:50-03:00|1.0|
Ultima Actualizacion: 2025-02-23T17:00:06-03:00||||||||
3|1.0|30516186670.0|DEHEZA S.A.I.C.F. e I.|DEHEZA S.A.I.C.F. e I.||2025-02-23T16:00:01-03:00|1.0|
Ultima actualizacion: 2025-02-23T16:00:00-03:00||||||||
20|1.0|33504047089.0|LA AGRICOLA REGIONAL COOPERATIVA LIMITADA|LA AGRICOLA REGIONAL COOPERATIVA LIMITADA|http://www.lar.coop|2025-02-23T19:45:12-03:00|1.0|
Última actualización: 2025-02-23T19:45:12-03:00||||||||
2007|1.0|30679928879.0|Sony Argentina S.A.|Sony|https://store.sony.com.ar|2025-02-23T16:30:00-03:00|1.0|
Ultima Actualizacion: 2025-02-23T16:30:00-03:00||||||||
2011|1.0|30543659734.0|Electronica Megatone S.R.L|Musimundo|https://www.musimundo.com|2025-02-24T04:00:19-03:00|1.0|
Última actualización: 2025-02-24T04:00:19-03:00||||||||
1001|1.0|33500529909.0|Rafaela Alimentos|Lario|www.rafaelaalimentos.com|2025-02-22T00:00:00|1.0|
Última actualización: 2025-02-23T18:09:00-03:00||||||||
10|2.0|30687310434.0|INC S.A.|Market|www.carrefour.com.ar|2025-02-24T04:30:04-03:00|1.0|
10|3.0|30687310434.0|INC S.A.|Express|www.carrefour.com.ar|2025-02-24T04:30:04-03:00|1.0|
10|1.0|30687310434.0|INC S.A.|Hipermercado Carrefour|www.carrefour.com.ar|2025-02-24T04:30:04-03:00|1.0|
Ultima actualización: 2025-02-24T04:30:04-03:00||||||||
2013|1.0|30716620634.0|First Label S.R.L.|Mercado Libre|https://www.mercadolibre.com.ar/|2025-02-24T12:48:29.744836|<VERSION>|
Última actualización: 2025-02-24T09:49:27-03:00||||||||
2013|1.0|30716620634.0|First Label S.R.L.|Mercado Libre|https://www.mercadolibre.com.ar/|2025-02-24T06:48:34.085258|<VERSION>|
Última actualización: 2025-02-24T03:49:22-03:00||||||||
13|1.0|30525705931.0|Cooperativa Obrera Limitada de Consumo y Vivienda|Cooperativa Obrera Limitada de Consumo y Vivienda|http://www.cooperativaobrera.coop|2025-02-24T04:00:03-03:00|1.0|
Última actualización: 2025-02-24T04:00:03-03:00||||||||
